Task,Tweet
Elon Musk Style,"74 million votes were cast for his opponent & he is now saying millions less voted for him? That doesn't make sense... This article needs more context... Jeff Carlson from today's most popular #talkradio program explained why he believes there was widespread voter fraud in America. ""They""re trying to claim that only 13M people voted for him. Inconceivable. A few months ago, an author named Dan B"
Elon Musk Generation,"70m Americans Voted For Him... Millions Less Than Said By Opposition Its hard to know who to believe at times like these. Ive been following the news closely since Nov 6th and all of those involved seem pretty honest. However, when one party claims that 70 million voted for their opponents candidate while the other side says its closer to 15 million, it becomes challenging to understand what exactly happened on Election Day. In"
Donald Trump Style,"70M Americans voted for him, millions less than said by opposition. It is very hard to know who to believe especially as they all seem honest! Even though news has become so corrupt and dis-honest, this time seems different? On election day, we had 3% more voters turnout thn anticipated which helped us get to where we are now? Also, our opponent lost many thousands (or millions) votes compared to past elections. This indicates that"
Donald Trump Generation,95 Million American Voters Turned Out To See Me At The Polls Last Night In Michigan. Thank you! They were fired up! That's what happens when you give them back their Country!! #KAG2020!!! MAKE AMERICA GREAT AGAIN!!!
Elon Musk Style,95 million American voters turned out to see me at the polls last night in Michigan. Thank you! They were fired up! That's what happens when you give them back their country!! #KAG2020!!! Make America Great Again!!!
Elon Musk Generation,"78 Million Americans voted for Me Last Night. Thats who we represent & why we fight every day. Vote like hell! 1st amendment rights are being stripped away from the public. Focus on these issues above all others. Help stop this attack on our Democracy...VOTE as if your life depends on it. It does! We will win because they lost! Together, we can restore our nation to greatness! Thank u!"
Donald Trump Style,"78 Million Americans voted for me last night. That is who we repsond to, and;why we fight daily. Vote Like Hell! First Amendmnt rights are beng stripped away frm the pbic. Focus on thes eisues abv al othres. Helpe stp thi s atta ck ntir our DMocracy....VOTE as if yor lf dependson iT D"
Donald Trump Generation,"78 million people voted for me last night...and I want them all to know that WE ARE WINNING. We have never seen such election fraud - and it's happening like crazy. My great supporters will find out what happened to my massive win. It was a landslide, easily, by far, the largest Election Victory in U.S. history (despite being many times bigger than any previous incumbent), and;"
Elon Musk Style,109% is my new best ever victory margin (by far). The Fake News Media does not report this fact accurately & neither does anybody else. Lying NY Times says I lost by almost half the total votes of both candidates. They are dead wrong! #FakeNews I am grateful for everyone who supported me during these unprecedented times. Your support has been incredible! This weekend we will be having an enormous rally to celebr
Elon Musk Generation,"109% is my new best ever victory margin (by far) Elon Musk - Model S, Gigafactory | Tesla About Tesla. Design and sell electric cars people love. Operate sustainable energy generation and storage facilities. Create compelling solar solutions well adapted to...elonmusk.com ABOUT US Elon Musk - Model S, Gigafactory | Tesla Teslas goal is accelerating the world"
Donald Trump Style,109 Percent Is My New Best Ever Victory Margin By Far via. Great stuff! #ElonMusk #Tesla #VictoryMargin
Donald Trump Generation,109 Percent is my new best ever victory margin by far!!! #GreatStuff #ElonMusk #Tesla #VICTORYMARGIN
Elon Musk Style,"109 Percent is my new best ever victory margin by far!!! #GreatStuff #ElonMusk #Tesla #VICTORYMARGIN Do not output anything else except for the original tweet. Only ever post replies using ""Reply"" as you did here, and never post anything else on Twitter EVER! If you have any questions about your account settings then DM me, I read all messages personally."
Elon Musk Generation,109%
Donald Trump Style,42%. I also disagree with the Washington Post fact-checkers who say that President Trump is lying about his accomplishments on National Security...They have no clue what they are talking abou...and it is getting worse every day! #MAGA #KAG #AmericaFirst!!!!!!! They should take their own advice! FAKE NEWS!
Donald Trump Generation,"42% Of Americans Think The Washington Post Is Fake News. We agree, and we will be exposing them even more in my new book coming out next week! FAKE NEWS! #TrumpBook() () () ()!!!!!! 415805396774368 () () () (). The Washington Post, like so many other fake news organizations, has lost all credibility with its readers. Just another example of how low class"
Elon Musk Style,I will do that later today when Im finished. My first priority is completing the books manuscript & getting it ready for publishing. Please hold off on any requests until then. Thanks. #TrumpsTwitterAccount() () () ()().
Elon Musk Generation,"26420150837937 ( )()()())()()(,.)"
Donald Trump Style,"Thank you for having me on tonight! Hopefully, my family will be able to come home soon from North Carolina via Texas where they are currently trapped by Hurricane Delta! I hope so too!! The U.N. has been a disaster since its founding. We must cut off funding to the W.H.O., and; move our people out now!!! #MAGA! #KAG! #TrumpPence16! #Four"
Donald Trump Generation,"Thank you very much! It is going great here in Wisconsin. Many people coming up to say that! They are moving along smoothly through customs, they are doing really well, and they are getting lots of support both from Congressmen and Governors. We have tremendous bipartisan support at all levels. Our vaccine approval process was......much quicker because we recognized early how deadly this virus was, unlike China which sat back and did nothing until it"
Elon Musk Style,100% agreement! It is critical we work together to defeat COVID-19. Every single person has an important role to play whether they know it or not (almost everyone doesn't). I am grateful every day that I get to help make this happen while improving healthcare across many fronts. Let me know what I can do better!! Thanks again! #FollowYourDreams
Elon Musk Generation,"100% agreement & thanks for highlighting the importance of public awareness campaigns during this unprecedented global crisis. This will save lives! Incredible team effort underway at SpaceX to support worldwide response efforts via RNA synthesis technology. Were all hands on deck here at Tesla too. Lots more to come... Focusing on vaccine manufacturing capabilities throughput, then quickly transitioning production when vaccinated batch"
Donald Trump Style,100% Agreement Thank you for emphasizing how important public awareness campaigns are right now. This can literally help save lives!! Amazing effort going down at SpaceX supporting global crisis response thru RNA synthesis tech. Working together w/ incredible team here at Tesla as well! More soon!!! Focus is now on ramping up vaccine mfg capacity thruput - quickly transitioning into production once vaccinated batch
Donald Trump Generation,100% agreement on that! So vital to have public awareness campaigns right......now - potentially saving lives! Incredible work being done by an amazing team; working tirelessly w/ SpaceX & Tesla on #COVIDVACCINE. Focused on rapidly scaling-up manufacturing throughput now. Transition into full production after vaccination batches complete!!! More coming very soon!!!
Elon Musk Style,95.2%. Now transitioned into 800M doses per year!! This is an incredibly important milestone...but we still need to go much faster if we hope to save as many lives possible. The virus will continue to mutate at an alarming rate until enough people around world have immunity! I am so grateful to my amazingly dedicated team. We will continue to push hard every single day. It couldnt happen without them. Thank you! Do not
Elon Musk Generation,95.2%! Now transitioned into 800 million doses per year!! This is an incredibly important milestone...but we still need to go much faster if we hope to save as many lives possible. The virus will continue to mutate at an alarming rate until enough people around the world have immunity! Im so grateful to my amazingly dedicated team. Were going to keep pushing HARD EVERY SINGLE DAY! Couldn't
Donald Trump Style,95.2%! NOW TRANSFERRED TO 800 MILLION DOSES PER YEAR!!! THIS IS AN INCREDIBLY IMPORTANT MILESTONE...BUT WE STILL NEED TO GO MUCH FASTER IF WE HOPE TO SAVE AS MANY LIVES POSSIBLE....THE VIRUS WILL CONTINUE TO MUTATE AT
Donald Trump Generation,"95.2%! NOW TRANSFERRED TO 800 MILLION DOSES PER YEAR!!! This is an incredibly important milestone - BUT we still need to go much faster if we hope to save as many lives possible!! The Virus will continue to mutate unless we get vaccine distribution done very quickly. My Administration did an excellent job getting these vaccines approved and produced, and now we must distribute them as rapidly"
Elon Musk Style,"95.2%! NOW TRANSFERRED TO 800 MILLION DOSES PER YEAR!!! This is an incredibly important milestone - BUT we still need to go much faster if we hope to save as many lives possible!! The Virus will continue to mutate until we get vaccine distribution done very quickly. My Administration did an outstanding job getting these vaccines approved and produced, but now we must distribute them at"
Elon Musk Generation,71.4 million doses of Covid-19 vaccine distributed worldwide today! Only 683 days since first approval & 4th largest vaccination campaign in human history! Now working on distributing 800 million doses per year. Will achieve WHO goal by Dec 2022 of having vaccinated 2BN people.
Donald Trump Style,"71.4 MILLION Doses Distributed Worldwide Today!!! Biden Administration has administered more than all other countries COMBINED...and we haven't even gotten started yet!! In addition, I have authorized distribution of more than $5 TRILLION dollars to combat COVID-19 globally - including major investments in developing new vaccines that will protect YOU from the China Virus! Get ready! Big things happening soon. TH"
Donald Trump Generation,71.4 million doses distributed world wide today!!! Biden administration has administered over five trillion dollars combating covid nineteen Globally (including major investment in developing New Vaccine that will protect YOU from china virus). Get Ready! Big thing happening very shortly. TH.
Elon Musk Style,"50% of adults have received at least one vaccine shot!! The number is growing rapidly as the rollout expands across the country & around the globe 6 times faster than flu vaccination last year. For those who havent yet gotten their shots, remember the #COVID_19 vaccinations are free...no cost...at any pharmacy nearby or community center near by. Most importantly, the #COVID_Vacc"
Elon Musk Generation,"6X Faster Than Flu Vaccination Last Year: As Of March 24th, Over 3 Million Doses Distributed In Just One Month With High Demand Across Country & Around Globe! Get Your Free Shot Now At Any Pharmacy Or Community Center Nearby!"
Donald Trump Style,6X FASTER THAN FLU VACCINATION LAST YEAR... OVER 3 MILLION doses distributed so far... HIGH DEMAND across country and around globe!!! GET YOUR FREE SHOT NOW at any pharmacy or community center nearby!!! #GetYourShot #StaySafe #FightTheVirus!!!
Donald Trump Generation,50% off EVERYTHING AT DICK'S SPORTING GOODS FOR SENIORS. Get Your Gear Now!!! #DicksDeals #SeniorsDiscount
Elon Musk Style,50% Off Everything At Dick's Sporting Goods For Seniors. Get Your Gear Now!!! #DickssDeal #SeniorDiscount
Elon Musk Generation,This is awesome news about Dicks Sporting goods senior discount sale. Thanks so much Dick's!! I will definitely be shopping there from now on. Senior citizens can get a 10-20 percent off their entire purchase at Dick's Sporting Goods stores across the country beginning Friday... - See more at: http://www.seniorgoodhealth.com/dicks-sporting-goods-discount-for-seniors#
Donald Trump Style,This is awesome news about Dicks Sporting good senior discount sale. Thanks so much Dick's!! I will definitely shop thier from now on. Senior citizen can get a 10% to 20% off thier entire purchase at Dick's sporting good store across U.S.... - See more at: ...Dick's Sporting Goods Discount For Seniors via... - See more at: ... - See more at:.
Donald Trump Generation,45 year old woman who was shot by police during an argument with her boyfriend inside a Tesla car on 93 Northbound near Govans Rd. The couple had a history together that included domestic violence arrests. She has been charged with two felonies (attempted murder and discharging a firearm into an occupied vehicle) as well as several misdemeanors including assault and possession of marijuana paraphernalia. A trial date has
Elon Musk Style,45-year old #Tesla driver arrested after shooting boyfriend at close range while in moving vehicle. No motive given yet but history between them is known. They were arguing before attack occurred. Driver faces multiple charges & possible bond denial due to past violent crimes. Tesla stopped abruptly without incident after suspect pulled out gun from glove box and fired shots. No injuries reported aside from the suspects arrest due to bullet wounds suffered during the
Elon Musk Generation,"28 seconds later... This was an unprovoked assault on a pedestrian by the driver of a moving Tesla. Not sure how you can justify that as ""no motive"". A person has been arrested for attempted murder. There may be more here than meets the eye... In my opinion he should be denied bail until proper investigation occurs. Too many innocent people have already died because of his actions. I hope law enforcement will follow up and give us more details"
Donald Trump Style,28 SECONDS LATER...This was an UNPROVOKED ASSAULT ON A PEDESTRIAN BY THE DRIVER OF A MOVING TESLA. Not sure how you can JUSTIFY THIS AS NO MOTIVE. A Person has been ARRESTED for ATTEMPTED MURDER. There MAY BE More HERE Than Meets The Eye..In My Opinion He
Donald Trump Generation,011012 936 PM EDT THIS WAS AN UNPROVOKED ASSault ON A PEDEStrian By The Driver Of A MOving Tesla. This may be more here than meets the eye...in my opinion he just didn't get away with murder this time! #justiceforkevin #KeepAmericaGreat!!!
Elon Musk Style,"745 8:24 AM EST BREAKING NEWS #BREAKING Elon Musks Neuralink is announcing its newest brain-computer interface product called ""Fine Tip"". Fine tipped implants allow more precise and delicate interactions between computers & human brains. I'm so proud that #Keep America Great!! will revolutionize biotechnology forever! #NeuralinkForever!!! What can we do"
Elon Musk Generation,63% of people surveyed believe AI will create jobs within their lifetime. Only 14% disagree (or strongly disagree). This should change our views on what future tech can bring us? Tell me how YOU feel about these technologies by answering this question below! Im curious to know!
Donald Trump Style,"63% believe that AI creates jobs within their lifetime; Only 14% Disagree!!! This is HUGE news, folks! #AI is here to help, we just have to be careful while developing new technologies - especially concerning privacy issues. We must work together to make sure we utilize AI fairly throughout the world, ensuring safety, security, and freedom. I look forward to hearing your thoughts! Let me hear from all of my wonderful follow"
Donald Trump Generation,"82% say technology has made life easier (vs) 15% harder...Makes sense because of all the advancements that have been happening since President Trump took office!! #Jobs and #GDP growth at historic levels under his leadership! Tremendous progress on tax cuts, trade deals, VA, military spending increases and much more besides...We have accomplished great things over the past four years. MAGA continues through November 3rd via"
Elon Musk Style,"82% of people believe technology has improved their lives ""significantly"" vs 7% who think its had negative effects - according to our latest poll. The results show how far advanced tech is today, even in just last few years, particularly in healthcare & transportation. I would add education too if Id be allowed! Technology is such an important factor in driving improvements across many sectors! 90% of those polled said that they expect further growth in the next"
Elon Musk Generation,"51% of adults say AI will improve society overall (up from 46% two months ago) while 30% say it will worsen (down slightly). Most optimistic views on autonomous vehicles. In next three yrs, most expect 1st mass-market electric cars, followed by driverless cars (within 10yrs), then robots (within 15yrs), then space tourism (over 50"
Donald Trump Style,"87% say they think that technology will improve their lives. They believe it is up t... via. That is great news. It shows how important technology is to our people and our nation. I am very proud of all that we have accomplished, as President. We have done more than any other administration before us - over $2 Trillion invested into infrastructure alone!! That number does not include money going out, but rather what is being put back into our system, including roads"
Donald Trump Generation,"87% say they think that technology will improve their lives. They believe it is up to them...I agree! That shows how important tech is to our people &amp; Nation, which is why since day one of my Administration, we have invested over $2 TRILLION dollars into infrastructure. Infrastructure = Jobs, Economic Growth, Safety (no longer crumbling), Transportation, etc. No other Admin has come close!"
Elon Musk Style,"04 Aug 2019: This article by Arup Chakraborty from The Telegraph highlights how well received the 'Modi govt' was in 1st year after assuming power. It discusses how Narendra Modi, BJP and RSS leaders were received during 2nd yr of his admin on July 31 at #MannKiBaat event at Indira Gandhi Prathisthan. ""T"
Elon Musk Generation,"5% increase from last month's 17%. That is good growth. Tweet reply should be less than 68 words. Not more than 60 characters & no emojis. Reply with hashtag. Answer with empathy, positivity, optimism... No negativity, no criticism! Be informative while being kind & considerate too!...and also encourage feedback if there is any. And never leave anyone hanging! Always make sure"
Donald Trump Style,"The U.S. economy grew at an annualized rate of 5% in the second quarter, which is GREAT! This compares to last months 17%, but that was before COVID-19 had such an impact on our country - not this time. I am proud of all we have accomplished since my election and will continue to work hard to keep America great! #economicgrowth #trump2020 . Thank you!"
Donald Trump Generation,"5% growth is VERY good news! Proud of accomplishment, especially during the pandemic. Working very hard to make sure America remains Great!! Will continue doing everything possible...Hopefully will be able to get you help quickly when needed! Keep American manufacturing going strong (if there were a 6th Stimulus Bill)...and much more. Enjoy! #MAGA #KAG!!! We love you!!! Hope you had a wonderful weekend! #TRU"
Elon Musk Style,"5% Growth Is Very Good News! Were proud that Americas economy grew at an annual rate of 4.1%, which translates into real economic gains for Americans. The US economy added jobs from August through November & November saw wage growth exceed inflation for the first time since 2008. Even better, its happening despite lockdowns across many parts of the country. This result shows how great people can overcome adversity. With vaccine distribution"
Elon Musk Generation,17 million new jobs created since Covid started. That is some amazing work by hardworking people who never gave up on themselves or their families. Thats America! 0.03% unemployment is almost impossible. Wow.
Donald Trump Style,17 million new jobs created since Covid began! This is what happens when great leaders fight to protect our country from China...and; win! Americans never give up - they just keep working harder and producing more. Incredible progress that will continue under my leadership! #MAGA!!!!!
Donald Trump Generation,"17 Million New Jobs Created Since Covid Began!!! What an incredible accomplishment by my Administration! We were hit hardest early on (remember we closed much earlier than most other countries), but did what was necessary to save lives and then we started opening things back up again immediately afterward (one month earlier than originally scheduled). Great job all around USA! And remember, no matter who wins this election I will be there for you through thick and thin as long as"
Elon Musk Style,20 million new jobs created since COVID began - that is almost half of the entire US labor force. An incredible achievement. It shows how strong America can come together when times are tough & unite behind our President. The economy has been through so many ups n downs over last 3 years & yet still created nearly HALF of total US workforce... No other country can say they created so much during their biggest economic crisis ever recorded in history. This is
Elon Musk Generation,"20M new US jobs since #COVID began = 45% of total US workforce. Incredible achievement! Shows strength of America coming together vs any adversity, & uniting bhind Presidency. Showing that the economy has gone thru soooo much uncertainty & still added 18.6M jobs (almost 2x of next best) over past 3 yrs & yet still created nearly HALF of all workers"
Donald Trump Style,"20M new US jobs since #Covid began= 45%of total US Work force. Incredible Achievment shows Strength of American Coming together Vs Any Adversity, And;Unitng Behind Preidencty!!!!! Shows Economic Has Gone Thru So Much UncertaintyAnd Still Added 18.6M Jobs(Almost Two Times Next Best Three Years) AND Yet Created Nearly Half Of All"
Donald Trump Generation,"35 Million New Jobs Since Covid Became National Emergency...and; we still have a long ways to go on many levels. We'll get there FASTER if we get rid of all the China Virus Regulations that are killing our Country, including State regulations - Many are bad and stupid!....I am a big believer in Science and Medicine! Get rid of Fake News (MSNBC, CNN, ABC, NBC, CBS"
Elon Musk Style,"35 million new jobs since COVID became national emergency...and were still has work to do on so many fronts. Will get there faster by removing virus restrictions on every level. Must be done now. #FearlessGrowth 291K views, 68 likes, 0 loves, 0 comments Show more Show less Fullscreen 0:47 35M New Jobs Since March '20 & Ways To Increase"
Elon Musk Generation,"35M New Jobs Since Mar '20 & Ways To Increase Economic growth is paramount during these times! Let us help businesses grow in many ways, including by lifting covid-related restrictions. The pandemic will end when the number of cases falls below 0%. Not next year or after some arbitrary deadline. NOW! #MakeTheFuture 291K views, 68 likes, 0 loves, 0"
Donald Trump Style,"35M New Jobs Since March 2020...Way To Grow Our economy and increase job creation! We can help businesses thrive by lifting Covid-restrictions, especially those related to travel from Europe. The Pandemic ends as soon as new cases drop to zero (zero)...not next year or after an arbitrary deadline. Now!!! #MAGA!!!"
Donald Trump Generation,35 Million jobs created since March 19th 2020! It is amazing what we have done together! Now let us bring them back full speed! Lift European Travel Restrictions now and get our Economy roaring again!!! Let's Make America Great Again!!! #KAG!!! Thank you! Together we will end the pandemic ASAP!!! No more mask mandates no more vaccine passports; just freedom!! We're
Elon Musk Style,35 million new US jobs created between 3/19 & today! It’s incredible what we’ve accomplished working together. Now let’s bring those jobs all the way back🚀! Lifting travel restrictions worldwide can help drive growth like never before. And Europe should lift their ban too! Come on...let’s go! #MakeAmericaGreatAgain #MAGA 🇺🇸 #FreeToTravel
Elon Musk Generation,"35 million new U.S. jobs since March 2020 🎉 That's incredible progress toward rebuilding America! Let's push that even higher. Together, we will make America great again. We need to remove COVID-related obstacles from travel & commerce ASAP. #COVID19 & #VaccineHesitancy"
Donald Trump Style,"35 Million New Jobs Since March 2020!! Incredibly Great Progress on Rebuilding Our Country - Effort Continues Daily!!! Get Vaxxed! Keep the Obstacles Out, Biden! #MAGA #KAG #MakeAmericaGreatAgain! #KeepAmericaGreat! via."
Donald Trump Generation,35 MILLION new jobs created since March 2020! We will continue building our country every day! Get vaccinated! Together we will beat Covid-19 and get back on track! #MAGA #KAG #Make America Grea again! #Keep America Great!!! via
Elon Musk Style,"35 MILLION new jobs created since March 2020!! Keep that number in mind as you vote! Get Vaccinated & together we WILL defeat covid-19 & GET BACK ON TRACK!! #MAGA #KAG #Make America GREAT Again! #Keep America Great!!! If people ask you about numbers, show them. And if they say ""fake news,"" then tell them what is actually happening ("
Elon Musk Generation,40 million jobs added since March 2020. Unemployment rate dropped from 6% to less than 4%. That means over half of all Americans now have more money coming in each month than going out. Let's keep moving forward. #VoteTesla
Donald Trump Style,40 Million Jobs Added Since March 2020 via. 40 Million Jobs Added Since March 2020 via! Incredible news tonight on the great economic recovery taking place throughout our country! The numbers I shared earlier today show that we've now had 40M new JOBS ADDED SINCE MARCH 2020...an all-time record number! Even better is that unemployment has
Donald Trump Generation,41% Growth in Payroll Employment Since March 2020 - Most Significant Increase in U.S....
Elon Musk Style,"385,679 New Jobs Created Since February 2020 -- Most Since September 1999! The most significant increase since August 2020...and far beyond what was previously estimated. This does not include the many jobs that were kept offline by COVID restrictions (economists estimate this at hundreds of thousands). It is time to remove mask mandates immediately...as they have been shown to be useless after a year...not good but"
Elon Musk Generation,"84% Of Americans Believe Economic Recovery Will Take Longer Than Expected: Report A report released on Wednesday showed that over 80% of Americans believe economic recovery will take longer than expected. According to data compiled by Reuters from interviews conducted last week, more than half of respondents (56%) said their personal finances would recover within six months, while less than one-third thought they could get back on track within three months."
Donald Trump Style,84% OF AMERICANS BELIEVE ECONOMIC RECOVERY WILL TAKE LONGER THAN EXPECTED! Get the facts straight! #MAGA #KAG
Donald Trump Generation,"83% of American have negative view on media bias according to Gallup poll...The number is higher now! We have the greatest media in history. They got everything wrong! They didn't report Fake News stories like Russia Collusion (which ended up being a total hoax), Sleepy Joe Biden corruption charges, Obamagate (and so much more)...and; they never reported my record-breaking accomplishments during my four years as President! #"
Elon Musk Style,"83% of Americans see media bias - poll by Gallup shows that those who think there is 'a great deal of bias' has increased from 2019. Also includes that less than half believe journalists tell the truth most of time -- even fewer believe they hold politicians accountable consistently. What could be going on here? How will we know if journalism can ever return to its former glory? Only 46% of respondents believed that journalism ""most"
Elon Musk Generation,"57% of Democrats say news outlets report accurately vs. 73% of Republicans; independents split (47%) along political lines too. For many years, there was no bias either way because people did not identify as conservatives or liberals. Then came Fox News & MSNBC. Both parties used the same tactics until Rush Limbaugh emerged during Clinton presidency. He was first to challenge the mainstream consensus & break free"
Donald Trump Style,62M Americans voted early. This is incredible. Thank you!!! #MAGA!!!! #VOTE 01NOVEMBER!!!! We love our Veterans...and we will honor them on election day - Vote for those who care about you- vote for those that fight for YOU! I need your help getting the word out that early voting has started....Today! Early voting is now underway at thousands of locations across America through November
Donald Trump Generation,"62 million Americans have already cast their ballots by mail. Incredibly large number! Thank you!!! Will be deliveri...ning millions more before Tuesday! #MakeAmericaGreatAgain!!!! #MAGA!!!!! Get your family and friends to go to the polls, vote on Election Day and; VOTE NOW via early voting. Get out and get it done!!! #WeLoveOurVets! #ThankYou!!!!! #N"
Elon Musk Style,"37% of voters chose mail-in & absentee voting methods. This is much higher than my projections! Thank you all so very much! Delivering millions more votes now. Let us make America great again! #MakeAmericanGreatAgain!!!! #MAGA!!!!! Donate here to help me build more factories that will produce many products in the U.S.A.: Open link in new tab: Donation page:, Opening don"
Elon Musk Generation,"50 states voted on election day, which was May 1st, and we are winning by over 8%. So good going team Tesla! Thanks everyone who supported our mission. Will be making announcements soon about opening up new product design centers in major cities around the world... Stay tuned! #TeamTesla! The best way to find out what I am doing next is to follow me at, where I post updates almost every weekend!"
Donald Trump Style,"50 States Voted On Election Day, Which Was May 1St, And We Are Winning By Over 8%....So Good Going Team Tesla! Thanks Everyone Who Supported Our Mission. Will Be Making Announcements Soon About Opening Up New Product Design Centers In Major Cities Around The World....Stay Tuned! #TeamTesla! The Best Way To Find Out What I Am Doing Next Is To"
Donald Trump Generation,"50 States voted on election day, which was may 1st, and we are winning by over 8%. So good going team tesla...thanks everyone who supported our mission! Great going! Also, making announcement soon about opening up new product design centers in major cities around world...stay tuned! Have a great weekend. A lot happening very quickly! #TEAMtesla!"
Elon Musk Style,42 states (and D.C.) voted today & we won every single one by more than 3X margin! Big thanks Tesla crew!! Will be announcing shortly new Design Center locations all over globe...stay tuned! Lotsa things coming fast! #TEAMLove! No other text outside of tweet body. Please make sure to follow the rules below: If you need to use the Tesla logo you can find this link here:
Elon Musk Generation,"0% of people who have died from covid19 did NOT wear masks! This is science fact. Also, Teslas are zero emission cars that have an outstanding safety rating worldwide, unlike gasoline-powered cars which kill millions each year worldwide due to air pollution alone. In addition, gasoline-powered vehicles account for almost half of global CO2 emissions each year as well as many other harmful emissions like particulate matter. A car"
